,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
213,Teya,75,MX,1559362804,94,21.05,-89.07,81.0,4.7
214,Warri,100,NG,1559362696,89,5.52,5.75,77.28,4.65
215,Chuy,78,UY,1559362806,64,-33.69,-53.46,60.0,5.5
216,Macas,100,EC,1559362808,95,-2.3,-78.12,47.04,3.2
217,Carutapera,100,BR,1559362809,91,-1.2,-46.02,77.64,4.65
218,Hofn,87,IS,1559362810,82,64.25,-15.21,25.62,6.8
219,Ust-Kan,93,RU,1559362811,53,50.93,84.77,52.08,5.64
220,Darasun,0,RU,1559362812,38,51.66,113.98,61.0,4.47
221,Sampit,55,ID,1559362813,59,-2.54,112.95,87.54,5.77
222,Nuuk,0,GL,1559362815,72,64.17,-51.74,32.0,6.93
223,Constitucion,40,MX,1559362816,29,23.99,-104.67,77.0,8.05
224,Bondo,86,CD,1559362817,87,3.81,23.69,69.9,2.26
225,Gashua,42,NG,1559362818,43,12.87,11.04,89.52,3.36
226,Boca do Acre,77,BR,1559362819,91,-8.76,-67.39,74.94,2.24
227,Poltava,83,UA,1559362821,81,49.59,34.55,69.18,2.04
228,Port Macquarie,90,AU,1559362822,72,-31.43,152.91,68.0,8.05
229,Marystown,90,CA,1559362823,80,47.17,-55.16,40.2,7.02
230,Lavrentiya,90,RU,1559362824,61,65.58,-170.99,48.66,8.99
231,Ilhabela,92,BR,1559362815,81,-23.78,-45.36,76.02,8.57
232,Castro,90,CL,1559362805,100,-42.48,-73.76,50.0,13.87
233,Vardo,1,US,1559362828,52,39.62,-77.74,69.8,3.36
234,Geraldton,75,CA,1559362829,65,49.72,-86.95,46.4,4.7
235,Kota Kinabalu,75,MY,1559362830,66,5.98,116.07,91.4,5.82
236,Udachnyy,0,RU,1559362831,23,66.42,112.4,64.4,8.95
237,Bambous Virieux,75,MU,1559362832,88,-20.34,57.76,75.2,5.82
238,Egvekinot,24,RU,1559362833,67,66.32,-179.17,40.38,10.18
239,Puri,71,ID,1559362835,55,-7.54,112.45,85.92,9.17
240,Gizo,20,IL,1559362836,83,31.8,34.94,75.0,4.7
241,Acapulco,75,MX,1559362837,74,16.86,-99.88,84.2,8.05
242,Severo-Kurilsk,77,RU,1559362838,91,50.68,156.12,41.28,14.85
243,Tiznit,100,MA,1559362839,65,29.7,-9.73,72.42,13.87
244,Pangnirtung,44,CA,1559362841,66,66.15,-65.72,42.18,1.95
245,Itapirapua,1,BR,1559362842,60,-15.82,-50.61,72.06,1.54
246,Vaitape,12,PF,1559362843,70,-16.52,-151.75,82.86,6.91
247,Millbrook,1,US,1559362844,88,32.48,-86.36,75.99,5.73
248,San Cristobal,0,EC,1559362846,93,-0.39,-78.55,55.4,2.24
249,Anadyr,0,RU,1559362847,61,64.73,177.51,46.4,15.66
250,Tuy Hoa,100,VN,1559362848,36,13.08,109.3,99.06,2.35
251,Pevek,0,RU,1559362849,79,69.7,170.27,36.96,14.83
252,Margate,20,AU,1559362850,55,-43.03,147.26,60.8,10.29
253,Ferrol,0,ES,1559362852,87,43.48,-8.23,66.0,4.7
254,Pisco,90,PE,1559362853,77,-13.71,-76.2,66.2,5.82
255,Angostura,0,MX,1559362854,75,25.37,-108.16,79.0,5.41
256,Juventino Rosas,40,MX,1559362855,44,20.64,-101.0,77.0,10.29
257,Touros,20,BR,1559362857,94,-5.2,-35.46,75.2,4.7
258,Maniitsoq,0,GL,1559362858,70,65.42,-52.9,41.82,5.41
259,La Baule-Escoublac,0,FR,1559362859,93,47.28,-2.4,57.2,2.24
260,Stovring,100,DK,1559362860,93,56.89,9.84,55.99,4.0
261,Pavlodar,0,KZ,1559362861,43,52.28,76.96,73.4,2.24
262,Ilebo,63,CD,1559362863,95,-4.33,20.59,69.9,1.54
263,Baykit,5,RU,1559362864,37,61.68,96.39,52.26,3.31
264,Salinas,90,US,1559362823,82,36.67,-121.66,68.0,8.05
265,Aksu,0,KZ,1559362866,43,52.04,76.93,73.4,2.24
266,Madang,95,PG,1559362867,48,-5.21,145.81,86.82,5.21
267,Minab,0,IR,1559362869,70,27.15,57.07,87.8,4.7
268,Singarayakonda,72,IN,1559362870,50,15.25,80.02,96.18,7.31
269,Naliya,0,IN,1559362871,79,23.26,68.83,86.1,16.49
270,Thompson,40,CA,1559362630,60,55.74,-97.86,39.2,9.17
271,Ponta Delgada,75,PT,1559362873,100,37.73,-25.67,64.4,10.29
272,Saravan,0,AM,1559362875,40,39.72,45.65,71.6,3.51
273,Makokou,100,GA,1559362876,98,0.56,12.85,70.98,2.46
274,Matagami,100,NG,1559362877,96,9.67,8.4,70.26,5.37
275,Haukipudas,0,FI,1559362878,65,65.17,25.5,48.0,14.99
276,Husavik,0,CA,1559362879,61,50.56,-96.99,50.0,7.09
277,Ibra,0,OM,1559362880,36,22.69,58.55,86.46,4.56
278,Sangar,46,RU,1559362882,34,63.92,127.47,63.24,14.7
279,Pemba,20,MZ,1559362883,93,-12.97,40.52,64.4,8.05
280,Missoula,90,US,1559362884,77,46.87,-114.0,66.2,2.59
281,Sungairaya,72,ID,1559362885,71,0.7,108.9,84.66,6.08
282,Fortuna Foothills,1,US,1559362811,13,32.66,-114.41,84.2,9.17
283,Westport,100,IE,1559362887,89,53.8,-9.52,54.0,12.68
284,Bethel,75,US,1559362889,51,60.79,-161.76,60.8,8.05
285,Cabo San Lucas,5,MX,1559362862,36,22.89,-109.91,80.6,14.92
286,Rauma,0,FI,1559362891,66,61.13,21.5,48.2,8.05
287,Berlevag,0,NO,1559362892,82,70.86,29.09,41.64,2.95
288,Sur,0,OM,1559362893,22,22.57,59.53,99.42,13.56
289,Tabas,80,IR,1559362895,36,33.6,56.92,77.0,4.7
290,Inirida,60,CO,1559362896,87,3.87,-67.92,75.84,1.61
291,The Valley,20,AI,1559362752,83,18.22,-63.06,78.01,6.93
292,Balabac,49,PH,1559362898,72,7.99,117.06,86.64,13.82
293,Kieta,7,PG,1559362899,65,-6.22,155.63,87.0,11.25
294,Mackay,40,CA,1559362900,63,53.65,-115.58,60.8,6.93
295,Baturaja,100,ID,1559362902,61,-4.12,104.17,85.02,3.49
296,Jacareacanga,35,BR,1559362903,95,-6.22,-57.76,74.4,1.16
297,Laguna,0,MX,1559362904,56,27.52,-110.01,81.24,7.56
298,Harper,1,US,1559362905,78,30.3,-99.24,77.0,8.59
299,Gillette,75,US,1559362907,100,44.29,-105.5,55.99,7.14
300,Srednekolymsk,96,RU,1559362908,73,67.46,153.71,48.66,15.64
301,Whitianga,89,NZ,1559362909,85,-36.83,175.7,53.01,3.0
302,Marsaxlokk,20,MT,1559362910,93,35.84,14.54,60.01,4.7
303,San Francisco,40,US,1559362832,87,37.78,-122.42,69.01,17.22
304,Guerrero Negro,0,MX,1559362914,84,27.97,-114.04,64.14,13.53
305,Codrington,90,AU,1559362915,60,-28.95,153.24,68.0,11.41
306,Garoua,70,CM,1559362916,65,9.31,13.39,81.42,4.52
307,Meulaboh,100,ID,1559362917,74,4.14,96.13,83.22,2.77
308,Cumaral,88,CO,1559362918,81,3.7,-73.91,68.1,2.95
309,Bafq,0,IR,1559362919,48,31.6,55.4,67.2,10.16
310,Ilulissat,22,GL,1559362921,74,69.22,-51.1,37.4,6.64
311,Deputatskiy,91,RU,1559362922,76,69.3,139.9,46.14,5.99
312,Eydhafushi,100,MV,1559362923,71,5.1,73.07,84.48,9.4
313,Sabana de Torres,75,CO,1559362730,100,7.39,-73.5,68.0,3.36
314,Santa Maria,90,BR,1559362885,93,-29.69,-53.81,59.0,5.82
315,Valle de Allende,39,MX,1559362927,42,26.94,-105.39,78.36,9.62
316,Mahibadhoo,87,MV,1559362928,70,3.78,72.97,84.66,8.57
317,Nizhniy Tsasuchey,0,RU,1559362929,35,50.52,115.13,62.7,11.25
318,Mampong,100,GH,1559362931,97,7.06,-1.4,71.7,6.78
319,Makakilo City,1,US,1559362932,54,21.35,-158.09,84.2,10.29
320,Alofi,75,NU,1559362933,69,-19.06,-169.92,78.8,6.93
321,Paamiut,2,GL,1559362934,96,61.99,-49.67,34.98,11.83
322,Alpine,75,US,1559362936,60,43.07,-85.69,71.6,4.7
323,Ciudad Bolivar,100,VE,1559362937,71,8.12,-63.55,81.6,7.05
324,Batemans Bay,0,AU,1559362938,57,-35.71,150.18,66.0,1.99
325,San Jeronimo,6,PE,1559362939,60,-13.65,-73.37,41.64,6.76
326,Sindor,78,RU,1559362940,46,62.87,51.9,56.76,6.69
327,Havoysund,95,NO,1559362942,93,71.0,24.66,39.2,19.46
328,Eresos,0,GR,1559362943,64,39.17,25.93,71.6,9.6
329,Nanortalik,3,GL,1559362944,86,60.14,-45.24,34.98,3.33
330,Marondera,0,ZW,1559362743,85,-18.19,31.55,45.6,3.98
331,Imbituba,75,BR,1559362946,93,-28.24,-48.67,66.2,6.93
332,Vanimo,82,PG,1559362947,73,-2.67,141.3,85.92,13.89
333,Mier,20,IT,1559362949,82,46.13,12.19,59.0,3.36
334,Djibo,80,BF,1559362950,27,14.1,-1.63,96.54,18.45
335,Fuzhou,90,CN,1559362951,94,26.08,119.3,69.8,8.95
336,Mecca,100,SA,1559362877,17,21.43,39.83,97.62,7.4
337,Zhangye,0,CN,1559362953,13,38.94,100.46,70.44,8.75
338,Rio Grande,1,BR,1559362954,85,-32.03,-52.1,54.24,3.13
339,Talnakh,90,RU,1559362956,89,69.49,88.39,32.0,4.47
340,Nishihara,75,JP,1559362957,64,35.74,139.53,81.0,4.7
341,Miyako,75,JP,1559362958,53,33.63,130.94,88.0,12.75
342,Vari,0,GR,1559362959,67,37.83,23.8,70.0,2.24
343,Gloversville,1,US,1559362813,87,43.05,-74.34,60.01,4.25
344,Fortuna,0,ES,1559362962,62,38.18,-1.13,60.8,4.7
345,Hami,0,CN,1559362963,11,42.84,93.51,80.52,1.74
346,Ostrovnoy,28,RU,1559362964,63,68.05,39.51,45.06,20.47
347,Pustoshka,90,RU,1559362965,97,56.34,29.37,52.26,3.96
348,Hegra,20,NO,1559362966,86,63.46,11.11,41.0,9.17
349,Sepolno Krajenskie,75,PL,1559362968,100,53.45,17.53,57.0,2.24
350,Zheleznodorozhnyy,0,RU,1559362969,68,55.75,38.0,64.4,8.95
351,Port Hardy,90,CA,1559362878,82,50.7,-127.42,55.4,4.7
352,Puerto El Triunfo,40,SV,1559362971,100,13.27,-88.55,75.2,2.24
353,Weiser,1,US,1559362972,41,44.25,-116.97,75.2,5.82
354,Kodinsk,46,RU,1559362974,29,58.6,99.18,61.08,3.27
355,Vostok,2,RU,1559362975,60,46.45,135.83,60.72,8.52
356,Marienburg,55,DE,1559362976,93,52.12,9.98,60.01,1.12
357,Khalkhal,0,IR,1559362977,73,37.62,48.53,48.48,4.16
358,Poso,87,ID,1559362978,85,-1.4,120.75,70.62,3.91
359,Grand Forks,40,US,1559362953,50,47.91,-97.06,59.0,10.29
360,Teutonia,0,DE,1559362981,93,51.59,9.03,55.0,2.24
361,Hamada,75,JP,1559362982,68,34.9,132.08,82.0,10.29
362,Sitka,0,US,1559362983,78,37.17,-99.65,66.99,3.0
363,Talaya,20,RU,1559362984,56,55.79,84.89,44.6,4.47
364,Anchorage,90,US,1559362985,41,61.22,-149.89,62.6,12.75
365,Conceicao do Araguaia,7,BR,1559362721,86,-8.26,-49.26,75.3,1.25
366,Tura,6,IN,1559362988,67,25.52,90.21,86.64,4.68
367,Healesville,75,AU,1559362989,62,-37.65,145.52,59.0,10.29
368,Vila Franca do Campo,75,PT,1559362990,93,37.72,-25.43,66.2,10.29
369,Grand Gaube,75,MU,1559362992,88,-20.01,57.66,75.2,5.82
370,Bilma,0,NE,1559362993,36,18.69,12.92,87.0,10.94
371,Ahipara,100,NZ,1559362994,100,-35.17,173.16,52.0,30.24
372,Waipawa,4,NZ,1559362995,77,-39.94,176.59,48.0,8.01
373,Muros,0,ES,1559362996,77,42.77,-9.06,64.99,3.22
374,Kokopo,100,PG,1559362997,59,-4.34,152.27,85.74,6.11
